Model,Training_accuracy,Test_accuracy
Logistic Regression,92.14285714285714,93.33333333333333
KNN,85.35714285714285,74.16666666666667
Decision Tree Classifier,100.0,98.33333333333333
Random Forest Classifer,100.0,99.16666666666667
Ada Boost Classifier,100.0,99.16666666666667
Gradient Boost Classifier,100.0,99.16666666666667
Stochastic Gradient Boosting,100.0,99.16666666666667
Xgboost,100.0,99.16666666666667
Cat Boost,100.0,99.16666666666667
Extra Trees Classifier,100.0,99.16666666666667
LightBGM Classifier,100.0,99.16666666666667
